date_of_birth,yearofbirth,monthofbirth,dayofbirth,number_of_people
1902_04_09,1902,4,9,1
1902_04_11,1902,4,11,1
1902_04_12,1902,4,12,2
1902_04_15,1902,4,15,2
1902_04_16,1902,4,16,2
1902_04_18,1902,4,18,1
1902_04_19,1902,4,19,1
1902_04_26,1902,4,26,1
1902_04_28,1902,4,28,1
1902_04_29,1902,4,29,1
1902_04_30,1902,4,30,1
1902_05_01,1902,5,1,1
1902_05_05,1902,5,5,1
1902_05_08,1902,5,8,1
1902_05_12,1902,5,12,1
1902_05_13,1902,5,13,1
1902_05_23,1902,5,23,1
1902_05_27,1902,5,27,2
1902_05_28,1902,5,28,1
1902_06_01,1902,6,1,2
1902_06_02,1902,6,2,2
1902_06_06,1902,6,6,1
1902_06_07,1902,6,7,1
1902_06_08,1902,6,8,3
1902_06_09,1902,6,9,1
1902_06_10,1902,6,10,1
1902_06_13,1902,6,13,2
1902_06_14,1902,6,14,1
1902_06_15,1902,6,15,2
1902_06_17,1902,6,17,2
1902_06_21,1902,6,21,2
1902_06_24,1902,6,24,1
1902_06_25,1902,6,25,1
1902_06_27,1902,6,27,1
1902_06_29,1902,6,29,1
1902_07_01,1902,7,1,2
1902_07_04,1902,7,4,1
1902_07_06,1902,7,6,1
1902_07_07,1902,7,7,1
1902_07_08,1902,7,8,1
1902_07_12,1902,7,12,1
1902_07_15,1902,7,15,3
1902_07_18,1902,7,18,1
1902_07_23,1902,7,23,1
1902_07_25,1902,7,25,1
1902_07_27,1902,7,27,2
1902_07_30,1902,7,30,1
1902_07_31,1902,7,31,1
1902_08_01,1902,8,1,4
1902_08_02,1902,8,2,1
1902_08_03,1902,8,3,3
1902_08_04,1902,8,4,1
1902_08_05,1902,8,5,1
1902_08_07,1902,8,7,4
1902_08_11,1902,8,11,2
1902_08_15,1902,8,15,1
1902_08_17,1902,8,17,2
1902_08_20,1902,8,20,1
1902_08_26,1902,8,26,1
1902_08_27,1902,8,27,1
1902_09_01,1902,9,1,1
1902_09_03,1902,9,3,1
1902_09_06,1902,9,6,2
1902_09_07,1902,9,7,2
1902_09_10,1902,9,10,1
1902_09_11,1902,9,11,1
1902_09_15,1902,9,15,1
1902_09_18,1902,9,18,2
1902_09_24,1902,9,24,1
1902_09_29,1902,9,29,3
1902_10_01,1902,10,1,2
1902_10_03,1902,10,3,2
1902_10_04,1902,10,4,1
1902_10_05,1902,10,5,2
1902_10_06,1902,10,6,1
1902_10_07,1902,10,7,1
1902_10_09,1902,10,9,1
1902_10_10,1902,10,10,1
1902_10_11,1902,10,11,3
1902_10_12,1902,10,12,2
1902_10_14,1902,10,14,1
1902_10_15,1902,10,15,2
1902_10_19,1902,10,19,1
1902_10_20,1902,10,20,1
1902_10_25,1902,10,25,1
1902_10_26,1902,10,26,1
1902_10_27,1902,10,27,1
1902_10_28,1902,10,28,1
1902_10_29,1902,10,29,1
1902_11_01,1902,11,1,1
1902_11_02,1902,11,2,1
1902_11_04,1902,11,4,1
1902_11_11,1902,11,11,1
1902_11_12,1902,11,12,1
1902_11_13,1902,11,13,1
1902_11_14,1902,11,14,2
1902_11_15,1902,11,15,1
1902_11_16,1902,11,16,2
1902_11_18,1902,11,18,1
1902_11_27,1902,11,27,1
1902_12_04,1902,12,4,1
1902_12_06,1902,12,6,4
1902_12_07,1902,12,7,1
1902_12_09,1902,12,9,1
1902_12_12,1902,12,12,1
1902_12_13,1902,12,13,1
1902_12_14,1902,12,14,1
1902_12_15,1902,12,15,1
1902_12_20,1902,12,20,1
1902_12_22,1902,12,22,1
1902_12_25,1902,12,25,2
1902_12_28,1902,12,28,1
1902_12_29,1902,12,29,1
1902_12_31,1902,12,31,1
1903_01_01,1903,1,1,3
1903_01_02,1903,1,2,2
1903_01_03,1903,1,3,1
1903_01_04,1903,1,4,2
1903_01_05,1903,1,5,2
1903_01_06,1903,1,6,2
1903_01_07,1903,1,7,1
1903_01_08,1903,1,8,2
1903_01_09,1903,1,9,1
1903_01_10,1903,1,10,1
1903_01_11,1903,1,11,1
1903_01_12,1903,1,12,3
1903_01_19,1903,1,19,1
1903_01_20,1903,1,20,2
1903_01_21,1903,1,21,1
1903_01_21,1903,1,21,1
1903_01_26,1903,1,26,1
1903_01_28,1903,1,28,1
1903_01_31,1903,1,31,2
1903_02_04,1903,2,4,1
1903_02_05,1903,2,5,1
1903_02_17,1903,2,17,1
1903_02_20,1903,2,20,1
1903_02_23,1903,2,23,1
1903_02_27,1903,2,27,3
1903_03_01,1903,3,1,2
1903_03_03,1903,3,3,1
1903_03_04,1903,3,4,3
1903_03_05,1903,3,5,1
1903_03_10,1903,3,10,1
1903_03_11,1903,3,11,2
1903_03_12,1903,3,12,1
1903_03_14,1903,3,14,2
1903_03_17,1903,3,17,1
1903_03_19,1903,3,19,3
1903_03_20,1903,3,20,3
1903_03_24,1903,3,24,1
1903_03_28,1903,3,28,2
1903_03_31,1903,3,31,1
1903_04_02,1903,4,2,1
1903_04_03,1903,4,3,2
1903_04_05,1903,4,5,1
1903_04_08,1903,4,8,1
1903_04_12,1903,4,12,1
1903_04_18,1903,4,18,1
1903_04_20,1903,4,20,1
1903_04_21,1903,4,21,1
1903_04_24,1903,4,24,1
1903_04_25,1903,4,25,1
1903_04_26,1903,4,26,2
1903_04_27,1903,4,27,1
1903_04_29,1903,4,29,2
1903_04_30,1903,4,30,1
1903_05_02,1903,5,2,1
1903_05_03,1903,5,3,1
1903_05_06,1903,5,6,2
1903_05_07,1903,5,7,2
1903_05_08,1903,5,8,4
1903_05_09,1903,5,9,1
1903_05_10,1903,5,10,1
1903_05_11,1903,5,11,1
1903_05_12,1903,5,12,1
1903_05_13,1903,5,13,1
1903_05_15,1903,5,15,2
1903_05_16,1903,5,16,1
1903_05_17,1903,5,17,2
1903_05_21,1903,5,21,2
1903_05_23,1903,5,23,1
1903_05_24,1903,5,24,2
1903_05_26,1903,5,26,2
1903_05_27,1903,5,27,2
1903_05_28,1903,5,28,1
1903_06_04,1903,6,4,1
1903_06_05,1903,6,5,1
1903_06_06,1903,6,6,2
1903_06_07,1903,6,7,1
1903_06_10,1903,6,10,1
1903_06_11,1903,6,11,2
1903_06_13,1903,6,13,1
1903_06_15,1903,6,15,1
1903_06_18,1903,6,18,1
1903_06_21,1903,6,21,4
1903_06_23,1903,6,23,1
1903_06_24,1903,6,24,1
1903_06_28,1903,6,28,1
1903_06_29,1903,6,29,1
1903_06_30,1903,6,30,2
1903_07_01,1903,7,1,1
1903_07_02,1903,7,2,1
1903_07_03,1903,7,3,1
1903_07_06,1903,7,6,2
1903_07_10,1903,7,10,3
1903_07_14,1903,7,14,1
1903_07_15,1903,7,15,1
1903_07_17,1903,7,17,1
1903_07_18,1903,7,18,2
1903_07_19,1903,7,19,1
1903_07_20,1903,7,20,2
1903_07_21,1903,7,21,1
1903_07_24,1903,7,24,1
1903_07_26,1903,7,26,1
1903_07_28,1903,7,28,1
1903_07_30,1903,7,30,1
1903_08_03,1903,8,3,1
1903_08_09,1903,8,9,1
1903_08_10,1903,8,10,1
1903_08_11,1903,8,11,2
1903_08_15,1903,8,15,3
1903_08_17,1903,8,17,1
1903_08_19,1903,8,19,1
1903_08_22,1903,8,22,1
1903_08_23,1903,8,23,1
1903_08_27,1903,8,27,1
1903_08_31,1903,8,31,2
1903_09_01,1903,9,1,1
1903_09_02,1903,9,2,1
1903_09_05,1903,9,5,3
1903_09_09,1903,9,9,1
1903_09_13,1903,9,13,2
1903_09_15,1903,9,15,1
1903_09_16,1903,9,16,1
1903_09_17,1903,9,17,1
1903_09_19,1903,9,19,2
1903_09_21,1903,9,21,3
1903_09_22,1903,9,22,2
1903_09_23,1903,9,23,1
1903_09_24,1903,9,24,1
1903_09_25,1903,9,25,1
1903_09_26,1903,9,26,1
1903_09_27,1903,9,27,1
1903_09_29,1903,9,29,1
1903_09_30,1903,9,30,1
1903_10_01,1903,10,1,1
1903_10_04,1903,10,4,1
1903_10_05,1903,10,5,1
1903_10_06,1903,10,6,1
1903_10_08,1903,10,8,1
1903_10_10,1903,10,10,2
1903_10_11,1903,10,11,2
1903_10_12,1903,10,12,2
1903_10_15,1903,10,15,1
1903_10_17,1903,10,17,1
1903_10_18,1903,10,18,4
1903_10_21,1903,10,21,2
1903_10_22,1903,10,22,2
1903_10_23,1903,10,23,1
1903_10_29,1903,10,29,1
1903_10_30,1903,10,30,1
1903_10_31,1903,10,31,1
1903_11_01,1903,11,1,2
1903_11_05,1903,11,5,3
1903_11_06,1903,11,6,2
1903_11_12,1903,11,12,2
1903_11_13,1903,11,13,1
1903_11_16,1903,11,16,1
1903_11_17,1903,11,17,1
1903_11_23,1903,11,23,1
1903_11_24,1903,11,24,1
1903_11_26,1903,11,26,1
1903_11_27,1903,11,27,2
1903_11_28,1903,11,28,1
1903_11_30,1903,11,30,1
1903_12_01,1903,12,1,2
1903_12_02,1903,12,2,1
1903_12_06,1903,12,6,1
1903_12_07,1903,12,7,2
1903_12_09,1903,12,9,1
1903_12_10,1903,12,10,4
1903_12_11,1903,12,11,1
1903_12_12,1903,12,12,1
1903_12_13,1903,12,13,3
1903_12_14,1903,12,14,1
1903_12_16,1903,12,16,1
1903_12_19,1903,12,19,1
1903_12_20,1903,12,20,1
1903_12_21,1903,12,21,1
1903_12_23,1903,12,23,1
1903_12_24,1903,12,24,1
1903_12_25,1903,12,25,3
1903_12_26,1903,12,26,1
1903_12_30,1903,12,30,1
1904_01_01,1904,1,1,6
1904_01_04,1904,1,4,1
1904_01_05,1904,1,5,1
1904_01_07,1904,1,7,1
1904_01_08,1904,1,8,1
1904_01_09,1904,1,9,1
1904_01_11,1904,1,11,2
1904_01_12,1904,1,12,1
1904_01_14,1904,1,14,2
1904_01_16,1904,1,16,1
1904_01_20,1904,1,20,3
1904_01_23,1904,1,23,1
1904_01_25,1904,1,25,1
1904_01_26,1904,1,26,2
1904_01_28,1904,1,28,1
1904_01_30,1904,1,30,1
1904_02_01,1904,2,1,1
1904_02_02,1904,2,2,1
1904_02_03,1904,2,3,2
1904_02_04,1904,2,4,2
1904_02_05,1904,2,5,2
1904_02_07,1904,2,7,1
1904_02_10,1904,2,10,1
1904_02_12,1904,2,12,3
1904_02_13,1904,2,13,1
1904_02_14,1904,2,14,1
1904_02_15,1904,2,15,4
1904_02_17,1904,2,17,3
1904_02_19,1904,2,19,2
1904_02_20,1904,2,20,2
1904_02_21,1904,2,21,2
1904_02_22,1904,2,22,1
1904_02_23,1904,2,23,1
1904_02_25,1904,2,25,1
1904_02_27,1904,2,27,1
1904_02_28,1904,2,28,2
1904_02_29,1904,2,29,1
1904_03_10,1904,3,10,1
1904_03_11,1904,3,11,1
1904_03_12,1904,3,12,1
1904_03_13,1904,3,13,1
1904_03_14,1904,3,14,2
1904_03_15,1904,3,15,2
1904_03_16,1904,3,16,1
1904_03_19,1904,3,19,2
1904_03_20,1904,3,20,1
1904_03_21,1904,3,21,1
1904_03_22,1904,3,22,2
1904_03_23,1904,3,23,2
1904_03_24,1904,3,24,1
1904_03_27,1904,3,27,1
1904_03_28,1904,3,28,1
1904_03_30,1904,3,30,1
1904_04_01,1904,4,1,2
1904_04_02,1904,4,2,1
1904_04_03,1904,4,3,3
1904_04_04,1904,4,4,1
1904_04_05,1904,4,5,1
1904_04_06,1904,4,6,1
1904_04_07,1904,4,7,1
1904_04_08,1904,4,8,2
1904_04_09,1904,4,9,2
1904_04_10,1904,4,10,2
1904_04_11,1904,4,11,2
1904_04_14,1904,4,14,2
1904_04_15,1904,4,15,2
1904_04_16,1904,4,16,1
1904_04_18,1904,4,18,1
1904_04_20,1904,4,20,2
1904_04_21,1904,4,21,1
1904_04_22,1904,4,22,1
1904_04_26,1904,4,26,2
1904_04_29,1904,4,29,1
1904_04_30,1904,4,30,2
1904_05_01,1904,5,1,2
1904_05_04,1904,5,4,1
1904_05_05,1904,5,5,2
1904_05_07,1904,5,7,1
1904_05_08,1904,5,8,2
1904_05_09,1904,5,9,1
1904_05_10,1904,5,10,3
1904_05_11,1904,5,11,2
1904_05_12,1904,5,12,1
1904_05_13,1904,5,13,1
1904_05_16,1904,5,16,1
1904_05_17,1904,5,17,1
1904_05_18,1904,5,18,2
1904_05_20,1904,5,20,1
1904_05_21,1904,5,21,2
1904_05_23,1904,5,23,1
1904_05_24,1904,5,24,4
1904_05_25,1904,5,25,3
1904_05_27,1904,5,27,2
1904_05_28,1904,5,28,1
1904_05_31,1904,5,31,2
1904_06_01,1904,6,1,1
1904_06_02,1904,6,2,2
1904_06_04,1904,6,4,1
1904_06_06,1904,6,6,6
1904_06_07,1904,6,7,2
1904_06_08,1904,6,8,1
1904_06_09,1904,6,9,1
1904_06_10,1904,6,10,2
1904_06_12,1904,6,12,1
1904_06_15,1904,6,15,1
1904_06_18,1904,6,18,2
1904_06_21,1904,6,21,2
1904_06_22,1904,6,22,1
1904_06_24,1904,6,24,2
1904_06_25,1904,6,25,2
1904_06_27,1904,6,27,1
1904_06_28,1904,6,28,1
1904_07_02,1904,7,2,2
1904_07_03,1904,7,3,2
1904_07_04,1904,7,4,1
1904_07_08,1904,7,8,2
1904_07_09,1904,7,9,1
1904_07_11,1904,7,11,2
1904_07_12,1904,7,12,2
1904_07_13,1904,7,13,4
1904_07_15,1904,7,15,1
1904_07_16,1904,7,16,2
1904_07_17,1904,7,17,1
1904_07_18,1904,7,18,1
1904_07_19,1904,7,19,3
1904_07_20,1904,7,20,2
1904_07_21,1904,7,21,2
1904_07_22,1904,7,22,1
1904_07_24,1904,7,24,2
1904_07_28,1904,7,28,1
1904_07_30,1904,7,30,1
1904_07_31,1904,7,31,2
1904_08_01,1904,8,1,3
1904_08_03,1904,8,3,2
1904_08_05,1904,8,5,1
1904_08_06,1904,8,6,2
1904_08_07,1904,8,7,2
1904_08_08,1904,8,8,1
1904_08_10,1904,8,10,1
1904_08_12,1904,8,12,1
1904_08_14,1904,8,14,2
1904_08_15,1904,8,15,1
1904_08_16,1904,8,16,1
1904_08_18,1904,8,18,1
1904_08_19,1904,8,19,1
1904_08_21,1904,8,21,2
1904_08_22,1904,8,22,1
1904_08_23,1904,8,23,1
1904_08_24,1904,8,24,3
1904_08_26,1904,8,26,1
1904_08_27,1904,8,27,3
1904_08_30,1904,8,30,1
1904_09_04,1904,9,4,3
1904_09_05,1904,9,5,2
1904_09_06,1904,9,6,1
1904_09_07,1904,9,7,1
1904_09_10,1904,9,10,1
1904_09_12,1904,9,12,2
1904_09_14,1904,9,14,1
1904_09_16,1904,9,16,2
1904_09_17,1904,9,17,1
1904_09_18,1904,9,18,2
1904_09_19,1904,9,19,2
1904_09_20,1904,9,20,1
1904_09_21,1904,9,21,1
1904_09_22,1904,9,22,3
1904_09_25,1904,9,25,2
1904_09_28,1904,9,28,1
1904_09_29,1904,9,29,1
1904_09_30,1904,9,30,2
1904_10_01,1904,10,1,2
1904_10_02,1904,10,2,1
1904_10_03,1904,10,3,1
1904_10_05,1904,10,5,1
1904_10_07,1904,10,7,1
1904_10_10,1904,10,10,1
1904_10_12,1904,10,12,1
1904_10_14,1904,10,14,2
1904_10_15,1904,10,15,1
1904_10_16,1904,10,16,2
1904_10_17,1904,10,17,1
1904_10_19,1904,10,19,2
1904_10_20,1904,10,20,2
1904_10_21,1904,10,21,1
1904_10_22,1904,10,22,1
1904_10_23,1904,10,23,2
1904_10_25,1904,10,25,2
1904_10_28,1904,10,28,1
1904_10_30,1904,10,30,1
1904_11_03,1904,11,3,1
1904_11_05,1904,11,5,1
1904_11_06,1904,11,6,1
1904_11_07,1904,11,7,2
1904_11_10,1904,11,10,1
1904_11_12,1904,11,12,1
1904_11_14,1904,11,14,1
1904_11_15,1904,11,15,3
1904_11_17,1904,11,17,1
1904_11_19,1904,11,19,2
1904_11_20,1904,11,20,1
1904_11_21,1904,11,21,1
1904_11_22,1904,11,22,1
1904_11_24,1904,11,24,1
1904_11_25,1904,11,25,2
1904_11_26,1904,11,26,1
1904_11_27,1904,11,27,2
1904_11_30,1904,11,30,1
1904_12_02,1904,12,2,3
1904_12_03,1904,12,3,2
1904_12_04,1904,12,4,5
1904_12_06,1904,12,6,2
1904_12_07,1904,12,7,2
1904_12_08,1904,12,8,2
1904_12_09,1904,12,9,3
1904_12_10,1904,12,10,4
1904_12_11,1904,12,11,3
1904_12_12,1904,12,12,2
1904_12_13,1904,12,13,1
1904_12_16,1904,12,16,2
1904_12_17,1904,12,17,2
1904_12_18,1904,12,18,1
1904_12_19,1904,12,19,2
1904_12_20,1904,12,20,3
1904_12_21,1904,12,21,2
1904_12_24,1904,12,24,1
1904_12_25,1904,12,25,2
1904_12_26,1904,12,26,1
1904_12_27,1904,12,27,1
1904_12_28,1904,12,28,1
1904_12_29,1904,12,29,2
1904_12_30,1904,12,30,2
1904_12_31,1904,12,31,1
1905_01_01,1905,1,1,10
1905_01_02,1905,1,2,2
1905_01_03,1905,1,3,2
1905_01_04,1905,1,4,1
1905_01_05,1905,1,5,2
1905_01_07,1905,1,7,2
1905_01_08,1905,1,8,2
1905_01_09,1905,1,9,3
1905_01_10,1905,1,10,1
1905_01_11,1905,1,11,1
1905_01_13,1905,1,13,2
1905_01_14,1905,1,14,1
1905_01_15,1905,1,15,4
1905_01_17,1905,1,17,2
1905_01_19,1905,1,19,2
1905_01_20,1905,1,20,2
1905_01_22,1905,1,22,2
1905_01_23,1905,1,23,1
1905_01_24,1905,1,24,1
1905_01_26,1905,1,26,2
1905_01_28,1905,1,28,1
1905_01_29,1905,1,29,1
1905_01_30,1905,1,30,1
1905_01_31,1905,1,31,1
1905_02_01,1905,2,1,2
1905_02_02,1905,2,2,3
1905_02_03,1905,2,3,1
1905_02_04,1905,2,4,2
1905_02_05,1905,2,5,1
1905_02_06,1905,2,6,1
1905_02_07,1905,2,7,3
1905_02_09,1905,2,9,3
1905_02_11,1905,2,11,3
1905_02_12,1905,2,12,1
1905_02_14,1905,2,14,2
1905_02_15,1905,2,15,3
1905_02_16,1905,2,16,2
1905_02_18,1905,2,18,1
1905_02_19,1905,2,19,2
1905_02_20,1905,2,20,2
1905_02_21,1905,2,21,1
1905_02_22,1905,2,22,1
1905_02_23,1905,2,23,1
1905_02_25,1905,2,25,1
1905_02_26,1905,2,26,3
1905_02_28,1905,2,28,2
1905_03_02,1905,3,2,1
1905_03_03,1905,3,3,1
1905_03_04,1905,3,4,1
1905_03_06,1905,3,6,1
1905_03_07,1905,3,7,2
1905_03_08,1905,3,8,1
1905_03_11,1905,3,11,1
1905_03_12,1905,3,12,1
1905_03_13,1905,3,13,1
1905_03_14,1905,3,14,1
1905_03_16,1905,3,16,3
1905_03_17,1905,3,17,1
1905_03_18,1905,3,18,4
1905_03_20,1905,3,20,4
1905_03_21,1905,3,21,1
1905_03_22,1905,3,22,1
1905_03_23,1905,3,23,3
1905_03_25,1905,3,25,3
1905_03_27,1905,3,27,1
1905_03_28,1905,3,28,3
1905_03_31,1905,3,31,2
1905_04_01,1905,4,1,2
1905_04_03,1905,4,3,1
1905_04_05,1905,4,5,4
